div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,1962,3,,651810.07581,413185.59842,84832.744736,8390.0516772,11077.20005,0.0074977099,0.0110929439,0.01723476,0.01723476,
IV,1963,1,,0,2016203.8972,1278081.522,288360.3252,34264.41956,0.0056267967,0.0074977099,0.0110929439,0.01723476,
IV,1963,2,,163001,1313678.8686,832747.46676,187884.20471,22658.72739,0.0030449935,0.0074429841,0.0110119765,0.0171089634,
IV,1963,3,,678649.34298,430198.78768,88325.830723,8735.5217199,11533.338576,0.0074977246,0.0110929656,0.0172347937,0.0172347937,
IV,1964,1,,0,2099224.1466,1330707.3708,300233.89377,35675.364722,0.0056267967,0.0074977246,0.0110929656,0.0172347937,
IV,1964,2,,169713,1367771.5953,867036.39842,195620.55463,23591.771702,0.0030449993,0.0074429983,0.0110119975,0.0171089962,
IV,1964,3,,795585.72276,504325.37376,103545.09281,10240.723465,13520.631066,0.0074977298,0.0110929733,0.0172348056,0.0172348056,
IV,1965,1,,0,2460936.2363,1559998.5667,351966.64601,41822.533986,0.0056267967,0.0074977298,0.0110929733,0.0172348056,
IV,1965,2,,182417,1606434.0538,1018325.7836,229754.51278,27656.834947,0.0030450014,0.0074430035,0.0110120052,0.0171090081,
IV,1965,3,,1173249.8639,743728.276,152698.01409,15102.001393,19938.858344,0.0074977258,0.0110929674,0.0172347965,0.0172347965,
IV,1966,1,,0,3629141.426,2300528.7953,519045.43626,61675.640481,0.0056267967,0.0074977258,0.0110929674,0.0172347965,
IV,1966,2,,256487,2371267.8638,1503157.1828,339142.40818,40785.501175,0.0030449998,0.0074429995,0.0110119992,0.0171089988,
IV,1966,3,,801336.45816,507971.70037,104293.67639,10314.759204,13618.370568,0.0074977274,0.0110929698,0.0172348003,0.0172348003,
IV,1967,1,,0,2478724.6313,1571277.5238,354511.2036,42124.865557,0.0056267967,0.0074977274,0.0110929698,0.0172348003,
IV,1967,2,,170192,1620490.3793,1027237.991,231765.15354,27856.763875,0.0030450005,0.0074430012,0.0110120018,0.0171090028,
IV,1967,3,,603885.05959,582728.02031,166284.28023,16445.698044,13390.311731,0.0046896481,0.0118093772,0.020120663,0.020120663,
IV,1968,1,,0,1867960.401,1802516.6366,565227.36911,41419.425225,0.0056267967,0.0046896481,0.0118093772,0.020120663,
IV,1968,2,,491005,1192930.8916,1151136.7036,360969.74489,27390.263044,0.0030219997,0.0045929996,0.0115659989,0.0197059982,
IV,1968,3,,549308.40159,260711.68941,205829.57265,20356.770921,12640.975551,0.0081788384,0.0107103548,0.023679397,0.023679397,
IV,1969,1,,0,1699141.7916,806443.38548,699648.26306,39101.549847,0.0056267967,0.0081788384,0.0107103548,0.023679397,
IV,1969,2,,3975720,726178.52256,344657.44359,299015.38793,25857.474601,0.0030220002,0.0067750004,0.0088720005,0.0196150012,
IV,1969,3,,519965.80181,168943.44548,205472.84838,20321.490499,12689.845302,0.0066820398,0.0192966207,0.0263752207,0.0263752207,
IV,1970,1,,0,1608378.1379,522582.33774,698435.69914,39252.715633,0.0056267967,0.0066820398,0.0192966207,0.0263752207,
IV,1970,2,,4995340,588297.70786,191145.34338,255467.36256,25957.439065,0.0030219996,0.0050549994,0.0145979981,0.0199529974,
IV,1970,3,,830357.90686,333946.84519,235347.98557,23276.174397,16794.904373,0.0079959425,0.0131373133,0.0223035852,0.0223035852,
IV,1971,1,,0,2568494.8883,1032977.175,799986.15943,51950.641614,0.0056267967,0.0079959425,0.0131373133,0.0223035852,
IV,1971,2,,3096150,1386801.3479,557732.91397,431934.62803,34354.454013,0.0030220036,0.0071260085,0.0117080139,0.0198770236,
IV,1971,3,,1176247.0399,495738.79048,200782.40964,19857.600954,21730.749208,0.0071769347,0.0160415484,0.0241863805,0.0241863805,
IV,1972,1,,0,3638412.4056,1533438.2183,682492.13344,67218.385949,0.0056267967,0.0071769347,0.0160415484,0.0241863805,
IV,1972,2,,6642300,1620774.6457,683088.5309,304024.34426,44450.864843,0.0030219979,0.0058429958,0.0130599907,0.019690986,
IV,1972,3,,3732486.4478,1005601.768,328858.38357,32524.455518,55157.658784,0.0086871704,0.0137254283,0.0247122913,0.0247122913,
IV,1973,1,,0,11545470.071,3110565.9132,1117843.2423,170615.78323,0.0056267967,0.0086871704,0.0137254283,0.0247122913,
IV,1973,2,,17555600,5071916.1859,1366469.2304,491067.68277,112826.55799,0.0030219991,0.0069279979,0.0109459966,0.019707994,
IV,1973,3,42,10802330.261,843710.63137,106185.62617,23278.400486,62699.890331,0.0048232267,0.0103264719,0.0137227124,0.0183901644,
